En peligro
Urotheca fulviceps
Caiman crocodilus
Anolis carpenteri
Lachesis melanocephala
Boa constrictor
Lepidochelys olivacea
Rhinoclemmys pulcherrima
Crocodylus acutus
Clelia clelia

Anfibios
--------
Incilius chompipe
Oophaga granulifera
Ecnomiohyla miliaria
Craugastor rayo
Duellmanohyla lythrodes
Incilius guanacaste
Isthmohyla xanthosticta
Diasporus tigrillo
Craugastor cuaquero
Craugastor gulosus
Phyllobates
Dendrobates
Bolitoglossa sombra
Nototriton guanacaste
Oedipina alfaroi
Bolitoglossa pesrubra
Bolitoglossa diminuta
Bolitoglossa epimela
Bolitoglossa kamuk
Oedipina collaris
Oedipina nimaso
Bolitoglossa obscura
Bolitoglossa splendida
Agalychnis

Plantas
-------
Droseraceae
Tillandsiae (no sé qué es esto...hay un género de Bromeliaceae llamado Tillandsia)
Lophosoriaceae
Metaxyaceae
Orchidaceae (no se ha incluído, hay que omitir las especies en peligro)
Cactaceae
Cyatheaceae
Zamiaceae

Corales
-------
Antipatharia
Milleporidae
Scleractinia
Stulasteridae (no sé qué es esto)

Artrópodos
----------
Aphonopelma seemanni
Aphonopelma burica
Aphonopelma crinirufum
Brachypelma
Sphaerobothria hoffmanni
Centruroides bicolor
Centruroides koesteri
Centruroides limbatus
Tityus
Megaphobema mesomelas
Megaphobema peterklaasi
Davus fasciatus
Sericopelma
Chactas exsul
Didymocentrus krausi
Opisthacanthus valerioi
Centruroides schmidti

