taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory	sinacCategory
2439348	Rheomys raptor Goldman, 1912	2439348	Rheomys raptor Goldman, 1912	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cricetidae	3240723	Rheomys	2439345	Rheomys raptor	2439348	LC	PE
4266898	Saimiri oerstedii oerstedii	4266898	Saimiri oerstedii oerstedii	21	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cebidae	9621	Saimiri	2436659	Saimiri oerstedii	2436664	EN	PE
2435099	Puma concolor (Linnaeus, 1771)	2435099	Puma concolor (Linnaeus, 1771)	46	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Felidae	9703	Puma	2435098	Puma concolor	2435099	LC	PE
2435146	Puma yagouaroundi (É.Geoffroy Saint-Hilaire, 1803)	2435146	Puma yagouaroundi (É.Geoffroy Saint-Hilaire, 1803)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Felidae	9703	Puma	2435098	Puma yagouaroundi	2435146	LC	PE
4267250	Ateles geoffroyi ornatus (Gray, 1870)	4267250	Ateles geoffroyi ornatus (Gray, 1870)	8	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Atelidae	3239607	Ateles	2436640	Ateles geoffroyi	2436643	VU	PE
2436349	Myrmecophaga tridactyla centralis Lyon, 1906	2436349	Myrmecophaga tridactyla centralis Lyon, 1906	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Pilosa	1494	Myrmecophagidae	9619	Myrmecophaga	2436345	Myrmecophaga tridactyla	2436346		PE
7394396	Reithrodontomys musseri Gardner & Carleton, 2009	7394396	Reithrodontomys musseri Gardner & Carleton, 2009	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cricetidae	3240723	Reithrodontomys	2437854	Reithrodontomys musseri	7394396	DD	PE
2440897	Tapirus bairdii (Gill, 1865)	8395500	Tapirella bairdii (Gill, 1865)	284	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Perissodactyla	795	Tapiridae	9416	Tapirella	7918610	Tapirella bairdii	8395500	EN	PE
10841609	BOLD:ADW1527	10841609	BOLD:ADW1527	1	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Trinycteris	4265370	Trinycteris nicefori	4265371		PE
4262851	Tayassu pecari albirostris (Illiger, 1815)	4262851	Tayassu pecari albirostris (Illiger, 1815)	3	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Tayassuidae	5303	Tayassu	2440992	Tayassu pecari	2440993		PE
