taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
3598581	Cyathea suprastrigosa (Christ) Maxon	3598581	Cyathea suprastrigosa (Christ) Maxon	189	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Cyatheales	7229402	Cyatheaceae	6624	Cyathea	2650273	Cyathea suprastrigosa	3598581	NE
3599593	Trichipteris scabriuscula (Maxon) R.M.Tryon	3600519	Cyathea bicrenata Liebm.	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Cyatheales	7229402	Cyatheaceae	6624	Cyathea	2650273	Cyathea bicrenata	3600519	NE
3949849	Disocactus acuminatus (Cufod.) Kimnach	3955881	Pseudorhipsalis acuminata Cufod.	12	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Cactaceae	2519	Pseudorhipsalis	7283546	Pseudorhipsalis acuminata	3955881	NE
3598335	Cyathea divergens var. tuerckheimii (Maxon) R.M.Tryon	3598155	Cyathea tuerckheimii Maxon	5	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Cyatheales	7229402	Cyatheaceae	6624	Cyathea	2650273	Cyathea tuerckheimii	3598155	
3599034	Cyathea squamulosa (Losch) R.C.Moran	3599034	Cyathea squamulosa (Losch) R.C.Moran	31	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Cyatheales	7229402	Cyatheaceae	6624	Cyathea	2650273	Cyathea squamulosa	3599034	NE
7282182	Cereus jamacaru DC.	7282182	Cereus jamacaru DC.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Cactaceae	2519	Cereus	3084079	Cereus jamacaru	7282182	LC
9694020	Rhipsalis teres (Vell.) Steud.	9694020	Rhipsalis teres (Vell.) Steud.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Cactaceae	2519	Rhipsalis	3084035	Rhipsalis teres	9694020	LC
3944754	Rhipsalis wercklei Berger	7457467	Rhipsalis micrantha (Kunth) DC.	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Cactaceae	2519	Rhipsalis	3084035	Rhipsalis micrantha	7457467	NE
7853201	Cyathea mutica var. mutica	7853201	Cyathea mutica var. mutica	20	VARIETY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Cyatheales	7229402	Cyatheaceae	6624	Cyathea	2650273	Cyathea mutica	3599547	
8410528	Alsophila erinacea var. erinacea	5530413	Alsophila erinacea (H.Karst.) D.S.Conant	28	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Cyatheales	7229402	Cyatheaceae	6624	Alsophila	2650312	Alsophila erinacea	5530413	
3084461	Selenicereus (Berger) Britton & Rose	3084461	Selenicereus (Berger) Britton & Rose	5	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Cactaceae	2519	Selenicereus	3084461			NE
