taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2153930	Megaphobema peterklaasi Schmidt, 1994	2153930	Megaphobema peterklaasi Schmidt, 1994	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Megaphobema	2153928	Megaphobema peterklaasi	2153930	NE
5170432	Cyclosternum fasciatum (O.Pickard-Cambridge, 1892)	7697789	Davus fasciatus O.Pickard-Cambridge, 1892	2	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Davus	4663417	Davus fasciatus	7697789	NE
2123713	Tityus C.L.Koch, 1836	2123713	Tityus C.L.Koch, 1836	19	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Tityus	2123713			
2154147	Sericopelma melanotarsum Valerio, 1980	2154147	Sericopelma melanotarsum Valerio, 1980	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Sericopelma	2154136	Sericopelma melanotarsum	2154147	NE
2153433	Brachypelma fossorium Valerio, 1980	2153433	Brachypelma fossorium Valerio, 1980	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Brachypelma	2153423	Brachypelma fossorium	2153433	LC
10660848	BOLD:ACB9873	10660848	BOLD:ACB9873	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Tityus	2123713	Tityus ocelote	6893803	
2154144	Sericopelma upala Valerio, 1980	2154144	Sericopelma upala Valerio, 1980	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Sericopelma	2154136	Sericopelma upala	2154144	NE
6893887	Tityus asthenes Pocock, 1893	6893887	Tityus asthenes Pocock, 1893	58	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Tityus	2123713	Tityus asthenes	6893887	NE
10018584	BOLD:ACC1250	10018584	BOLD:ACC1250	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Chactidae	2152	Chactas	4656377	Chactas exsul	6892608	
6894192	Centruroides limbatus (Pocock, 1898)	6894192	Centruroides limbatus (Pocock, 1898)	201	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Centruroides	3253199	Centruroides limbatus	6894192	NE
6894269	Centruroides schmidti Sissom, 1995	6894269	Centruroides schmidti Sissom, 1995	8	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Centruroides	3253199	Centruroides schmidti	6894269	NE
2154145	Sericopelma generala Valerio, 1980	2154145	Sericopelma generala Valerio, 1980	7	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Sericopelma	2154136	Sericopelma generala	2154145	NE
10130365	BOLD:ACC1249	10130365	BOLD:ACC1249	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Centruroides	3253199	Centruroides bicolor	6894281	
