taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
6164403	Bassariscus sumichrasti variabilis (Peters, 1874)	6164403	Bassariscus sumichrasti variabilis (Peters, 1874)	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Bassariscus	2433550	Bassariscus sumichrasti	2433551	
4265380	Glyphonycteris sylvestris Thomas, 1896	4265380	Glyphonycteris sylvestris Thomas, 1896	7	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Glyphonycteris	4265378	Glyphonycteris sylvestris	4265380	LC
5218907	Galictis vittata canaster Nelson, 1901	5218907	Galictis vittata canaster Nelson, 1901	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Mustelidae	5307	Galictis	5218900	Galictis vittata	5218906	
7261373	Mazama temama (Kerr, 1792)	7261373	Mazama temama (Kerr, 1792)	34	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Cervidae	5298	Mazama	2440920	Mazama temama	7261373	DD
4264672	Orthogeomys heterodus cartagoensis (Goodwin, 1943)	4264672	Orthogeomys heterodus cartagoensis (Goodwin, 1943)	8	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Geomyidae	9437	Orthogeomys	2439401	Orthogeomys heterodus	2439411	
2432422	Myotis oxyotus (Peters, 1867)	2432422	Myotis oxyotus (Peters, 1867)	24	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Vespertilionidae	9368	Myotis	2432384	Myotis oxyotus	2432422	LC
2436906	Sylvilagus dicei Harris, 1932	2436906	Sylvilagus dicei Harris, 1932	18	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Lagomorpha	785	Leporidae	9379	Sylvilagus	2436839	Sylvilagus dicei	2436906	VU
8814611	Macrogeomys dolichocephalus Merriam, 1895	4264675	Orthogeomys heterodus dolichocephalus (Merriam, 1895)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Geomyidae	9437	Orthogeomys	2439401	Orthogeomys heterodus	2439411	NE
9897666	BOLD:AAI8513	9897666	BOLD:AAI8513	3	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Heteromyidae	5504	Heteromys	2439567	Heteromys oresterus	2439571	
2437868	Reithrodontomys brevirostris Goodwin, 1943	2437868	Reithrodontomys brevirostris Goodwin, 1943	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cricetidae	3240723	Reithrodontomys	2437854	Reithrodontomys brevirostris	2437868	LC
10878900	Tanyuromys aphrastus Harris, 1932	10878900	Tanyuromys aphrastus Harris, 1932	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cricetidae	3240723	Tanyuromys	9450564	Tanyuromys aphrastus	10878900	DD
2433293	Micronycteris nicefori Sanborn, 1949	4265371	Trinycteris nicefori (Sanborn, 1949)	4	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Trinycteris	4265370	Trinycteris nicefori	4265371	LC
10307041	BOLD:AAI2224	10307041	BOLD:AAI2224	2	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Geomyidae	9437	Orthogeomys	2439401	Orthogeomys heterodus	2439411	
2433188	Vampyressa nymphaea Thomas, 1909	7923589	Vampyriscus nymphaea (Thomas, 1909)	22	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Vampyriscus	4832220	Vampyriscus nymphaea	7923589	LC
2433222	Ectophylla alba H.Allen, 1892	2433222	Ectophylla alba H.Allen, 1892	190	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Ectophylla	2433221	Ectophylla alba	2433222	NT
2432774	Thyroptera discifera (Lichtenstein & Peters, 1855)	2432774	Thyroptera discifera (Lichtenstein & Peters, 1855)	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Thyropteridae	5451	Thyroptera	2432772	Thyroptera discifera	2432774	LC
7923589	Vampyriscus nymphaea (Thomas, 1909)	7923589	Vampyriscus nymphaea (Thomas, 1909)	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Vampyriscus	4832220	Vampyriscus nymphaea	7923589	LC
2433319	Diaemus youngi (Jentink, 1893)	7388991	Diaemus youngii (Jentink, 1893)	3	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Diaemus	2433318	Diaemus youngii	7388991	LC
5963042	Anoura cultrata Handley, 1960	5963042	Anoura cultrata Handley, 1960	10	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Anoura	5963037	Anoura cultrata	5963042	LC
2437857	Reithrodontomys rodriguezi Goodwin, 1943	2437857	Reithrodontomys rodriguezi Goodwin, 1943	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cricetidae	3240723	Reithrodontomys	2437854	Reithrodontomys rodriguezi	2437857	LC
5706701	Sciurus deppei miravallensis Harris, 1931	5706701	Sciurus deppei miravallensis Harris, 1931	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Sciurus	2437489	Sciurus deppei	5219680	
5786979	Transandinomys talamancae (J.A.Allen, 1891)	5786979	Transandinomys talamancae (J.A.Allen, 1891)	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cricetidae	3240723	Transandinomys	4828868	Transandinomys talamancae	5786979	LC
10120985	BOLD:AAB1175	10120985	BOLD:AAB1175	4	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Thyropteridae	5451	Thyroptera	2432772	Thyroptera tricolor	2432773	
10389433	BOLD:AAC9441	10389433	BOLD:AAC9441	4	UNRANKED	DOUBTFUL	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Vampyriscus	4832220	Vampyriscus nymphaea	7923589	
2439404	Orthogeomys underwoodi (Osgood, 1931)	2439404	Orthogeomys underwoodi (Osgood, 1931)	13	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Geomyidae	9437	Orthogeomys	2439401	Orthogeomys underwoodi	2439404	LC
